               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,             0.06158,             0.11187,           0.0036826,             0.54575,             0.85474,             0.80074,              0.3076,            0.047483,            0.075859,           0.0024952,             0.00835,             0.00835,             0.00835
                  51,            0.060125,              0.1235,           0.0037689,             0.67822,             0.87689,              0.8644,             0.42065,            0.044538,            0.072637,           0.0022663,             0.00835,             0.00835,             0.00835
                  52,            0.060142,             0.12407,           0.0036909,              0.7319,             0.85476,             0.88876,             0.42634,            0.049493,            0.077803,           0.0023064,            0.008317,            0.008317,            0.008317
                  53,            0.060213,             0.11505,           0.0035658,             0.65195,              0.8341,             0.77942,             0.37489,            0.049945,            0.081055,           0.0026363,            0.008284,            0.008284,            0.008284
                  54,            0.055923,             0.11614,           0.0036163,             0.53195,             0.93707,             0.78938,             0.34979,            0.055575,            0.081152,           0.0023819,            0.008251,            0.008251,            0.008251
                  55,            0.056581,             0.12157,           0.0032826,             0.56641,             0.95022,             0.88116,             0.42351,            0.045963,            0.076289,           0.0019222,            0.008218,            0.008218,            0.008218
                  56,            0.057843,             0.11127,           0.0034957,             0.48824,             0.88074,             0.74312,             0.29131,             0.05164,            0.079805,           0.0019257,            0.008185,            0.008185,            0.008185
                  57,            0.055214,              0.1064,           0.0032228,             0.59041,             0.92857,             0.74097,             0.30013,            0.053871,            0.082197,           0.0019344,            0.008152,            0.008152,            0.008152
                  58,            0.056327,             0.11406,           0.0035017,             0.54012,             0.91558,             0.73316,             0.38368,            0.051889,            0.076592,             0.00172,            0.008119,            0.008119,            0.008119
                  59,            0.054063,             0.11122,           0.0032394,             0.73154,             0.89589,              0.9355,             0.49263,            0.042839,            0.072676,            0.001754,            0.008086,            0.008086,            0.008086
                  60,            0.053619,             0.10986,           0.0030767,              0.6689,             0.83095,             0.88424,             0.46567,            0.051137,            0.086152,           0.0022133,            0.008053,            0.008053,            0.008053
                  61,            0.052954,             0.10538,           0.0030849,             0.62298,             0.90769,             0.83217,             0.38519,            0.047974,            0.074395,           0.0014843,             0.00802,             0.00802,             0.00802
                  62,            0.054214,             0.10777,           0.0028822,             0.75878,             0.80195,             0.90359,             0.43607,            0.045185,            0.074629,           0.0014839,            0.007987,            0.007987,            0.007987
                  63,            0.053863,             0.10902,           0.0026421,             0.81064,             0.88177,             0.88913,             0.38526,             0.04933,            0.080039,           0.0015396,            0.007954,            0.007954,            0.007954
                  64,             0.05506,             0.10804,           0.0025165,             0.71414,             0.82215,              0.8821,             0.36107,            0.048978,            0.085508,           0.0019867,            0.007921,            0.007921,            0.007921
                  65,            0.052575,             0.10694,           0.0025743,             0.77268,             0.85931,             0.86276,             0.44047,            0.053195,            0.086484,           0.0016621,            0.007888,            0.007888,            0.007888
                  66,            0.054952,             0.11254,           0.0025289,             0.92312,             0.90476,             0.95271,             0.58807,            0.044781,            0.078701,           0.0014328,            0.007855,            0.007855,            0.007855
                  67,            0.053725,             0.10848,           0.0026977,             0.78279,             0.76798,             0.86669,             0.48391,            0.050166,            0.078965,            0.001372,            0.007822,            0.007822,            0.007822
                  68,            0.053176,             0.10653,           0.0023679,             0.95454,             0.92641,             0.97762,             0.46397,            0.043937,            0.074687,            0.001248,            0.007789,            0.007789,            0.007789
                  69,            0.050986,             0.11687,           0.0025875,              0.8934,             0.94372,             0.97529,             0.64409,            0.040897,            0.074824,           0.0012407,            0.007756,            0.007756,            0.007756
                  70,            0.051903,             0.10456,           0.0022071,             0.84556,             0.83528,             0.90534,             0.38092,            0.049373,            0.083613,             0.00131,            0.007723,            0.007723,            0.007723
                  71,            0.051388,             0.10614,            0.002543,             0.83737,             0.84394,             0.94793,             0.56623,            0.041934,            0.075869,           0.0013639,             0.00769,             0.00769,             0.00769
                  72,            0.049979,             0.10357,           0.0024316,             0.93734,             0.85146,             0.95869,             0.50399,            0.045637,            0.075527,           0.0011793,            0.007657,            0.007657,            0.007657
                  73,            0.051138,             0.10995,           0.0024182,             0.92545,             0.91154,             0.97748,             0.60551,             0.03899,            0.072578,           0.0011402,            0.007624,            0.007624,            0.007624
                  74,            0.050542,              0.1089,           0.0022066,             0.87048,             0.86126,              0.9232,             0.53987,            0.041697,            0.076211,           0.0010592,            0.007591,            0.007591,            0.007591
                  75,            0.050613,             0.10394,           0.0023156,             0.90892,             0.90284,             0.96042,             0.53628,            0.040444,             0.07125,           0.0010925,            0.007558,            0.007558,            0.007558
                  76,            0.048094,             0.10687,           0.0020774,             0.93643,             0.95275,             0.98317,             0.60728,            0.037554,            0.069199,           0.0010605,            0.007525,            0.007525,            0.007525
                  77,            0.050589,             0.11324,           0.0020841,             0.76728,             0.83312,             0.80817,             0.54411,            0.043148,            0.075566,            0.001095,            0.007492,            0.007492,            0.007492
                  78,            0.050236,              0.1055,           0.0023003,             0.93502,             0.95492,             0.98364,             0.70206,            0.034872,            0.067715,           0.0010588,            0.007459,            0.007459,            0.007459
                  79,            0.051559,             0.11944,           0.0025538,             0.87343,             0.97482,             0.96315,             0.65093,             0.03901,            0.075801,            0.001009,            0.007426,            0.007426,            0.007426
                  80,            0.049573,             0.10638,            0.002335,             0.89983,             0.96104,             0.97989,             0.56552,            0.040531,            0.074541,           0.0011509,            0.007393,            0.007393,            0.007393
                  81,            0.047402,             0.10956,           0.0024549,             0.96691,             0.96753,             0.99063,             0.58653,            0.037761,             0.07082,           0.0013247,             0.00736,             0.00736,             0.00736
                  82,            0.047282,             0.10096,           0.0021971,             0.94246,             0.92424,             0.96965,             0.49524,            0.040505,            0.072715,           0.0011692,            0.007327,            0.007327,            0.007327
                  83,            0.047217,              0.1031,           0.0023924,             0.96797,             0.96983,             0.98989,             0.65027,            0.036397,            0.067695,           0.0011093,            0.007294,            0.007294,            0.007294
                  84,            0.047396,            0.098949,           0.0022025,             0.86414,             0.91558,             0.93658,             0.58596,            0.042053,             0.06998,          0.00099754,            0.007261,            0.007261,            0.007261
                  85,             0.04625,             0.10116,            0.002037,             0.97175,             0.96537,              0.9909,             0.70429,            0.035632,            0.067227,           0.0010033,            0.007228,            0.007228,            0.007228
                  86,            0.047514,             0.10454,            0.002038,             0.90048,             0.92857,             0.96541,             0.65464,            0.039786,            0.070527,           0.0011518,            0.007195,            0.007195,            0.007195
                  87,            0.048676,             0.10252,           0.0021522,              0.8231,             0.95671,             0.96588,             0.63338,            0.038379,            0.068184,           0.0011702,            0.007162,            0.007162,            0.007162
                  88,             0.04572,             0.10055,           0.0021764,             0.97996,             0.97186,             0.99142,              0.6741,            0.033512,            0.065937,            0.001029,            0.007129,            0.007129,            0.007129
                  89,            0.046081,              0.1031,           0.0022199,             0.92514,             0.96537,             0.97361,             0.65311,            0.040287,            0.070254,           0.0010286,            0.007096,            0.007096,            0.007096
                  90,            0.045391,            0.096364,           0.0022112,             0.91876,             0.94156,             0.97462,             0.56191,            0.036826,            0.069268,           0.0010265,            0.007063,            0.007063,            0.007063
                  91,            0.045661,             0.10703,           0.0020485,             0.83748,             0.94823,             0.91076,              0.6518,            0.038658,            0.069844,           0.0010456,             0.00703,             0.00703,             0.00703
                  92,            0.044131,            0.099662,           0.0018856,             0.97837,             0.95533,             0.98971,             0.66063,            0.036969,            0.069092,           0.0010798,            0.006997,            0.006997,            0.006997
                  93,            0.045412,             0.10151,           0.0018329,              0.9188,             0.95489,             0.96557,             0.66481,            0.037306,            0.068574,           0.0010712,            0.006964,            0.006964,            0.006964
                  94,            0.046805,             0.10414,           0.0020422,             0.94035,             0.96537,             0.97298,             0.63658,            0.033602,            0.065146,           0.0010475,            0.006931,            0.006931,            0.006931
                  95,            0.047181,              0.1022,           0.0019671,             0.86858,             0.96753,              0.9491,             0.51165,            0.039583,            0.072617,             0.00103,            0.006898,            0.006898,            0.006898
                  96,             0.04633,             0.10039,           0.0020568,             0.97899,             0.96753,             0.99049,             0.67994,            0.035739,            0.065312,           0.0010281,            0.006865,            0.006865,            0.006865
                  97,             0.04415,             0.10437,           0.0023351,             0.97137,             0.97403,             0.99103,             0.71046,            0.033143,             0.06666,           0.0009964,            0.006832,            0.006832,            0.006832
                  98,            0.043019,            0.096342,           0.0021058,              0.9839,             0.96104,             0.99065,             0.70379,            0.034916,            0.064111,           0.0010319,            0.006799,            0.006799,            0.006799
                  99,            0.044685,             0.10164,            0.002143,             0.92719,              0.9533,             0.97829,             0.73129,            0.035139,            0.065186,          0.00099239,            0.006766,            0.006766,            0.006766
                 100,            0.047246,             0.11118,           0.0019445,             0.98406,             0.96104,             0.99111,             0.70458,            0.033025,            0.063389,            0.001004,            0.006733,            0.006733,            0.006733
                 101,            0.043218,            0.096384,           0.0020087,             0.97292,             0.96745,             0.99115,             0.74597,            0.033243,            0.062051,           0.0010071,              0.0067,              0.0067,              0.0067
                 102,            0.048858,              0.1052,           0.0018039,             0.97548,             0.97666,              0.9906,             0.73214,            0.031667,            0.061416,          0.00099239,            0.006667,            0.006667,            0.006667
                 103,            0.044954,             0.09784,           0.0020218,             0.96448,             0.94887,              0.9882,             0.68122,            0.033726,            0.065059,          0.00097713,            0.006634,            0.006634,            0.006634
                 104,             0.04832,             0.11153,           0.0020274,             0.87832,             0.94885,             0.96676,             0.67673,            0.038773,             0.06791,          0.00097666,            0.006601,            0.006601,            0.006601
                 105,            0.043109,            0.098443,           0.0017877,             0.95865,             0.98965,             0.99063,             0.72905,            0.030325,            0.061719,          0.00097961,            0.006568,            0.006568,            0.006568
                 106,            0.043606,             0.10076,           0.0020076,             0.96159,             0.98414,             0.98871,             0.73435,             0.03214,            0.062148,          0.00096436,            0.006535,            0.006535,            0.006535
                 107,            0.044822,             0.10169,           0.0020425,             0.97166,             0.98268,             0.99195,             0.76527,            0.036492,            0.065859,          0.00099392,            0.006502,            0.006502,            0.006502
                 108,            0.043544,             0.09765,           0.0018539,             0.96762,             0.98052,             0.98991,               0.755,            0.031687,            0.061143,          0.00099926,            0.006469,            0.006469,            0.006469
                 109,            0.043615,             0.10026,           0.0021207,             0.96073,             0.98399,             0.99199,             0.74375,            0.031189,            0.062236,           0.0010233,            0.006436,            0.006436,            0.006436
                 110,            0.043269,             0.10266,           0.0017976,             0.97403,             0.95872,              0.9888,             0.75706,            0.032492,            0.063945,            0.001001,            0.006403,            0.006403,            0.006403
